Dates,Total Rating
2016_07_27 16_10,118437
2016_07_27 16_20,118437
2016_07_27 16_30,118437
2016_07_27 16_40,118437
2016_07_27 16_50,118437
2016_07_27 17_00,118437
2016_07_27 17_10,118437
2016_07_27 17_20,118437
2016_07_27 17_30,118437
2016_07_27 17_40,118437
2016_07_27 17_50,118437
2016_07_27 18_00,118437
2016_07_27 18_10,118437
2016_07_27 18_20,118437
2016_07_27 18_30,118437
2016_07_27 18_40,118437
2016_07_27 18_50,118437
2016_07_27 19_00,118437
2016_07_27 19_10,118437
2016_07_27 19_20,118702
2016_07_27 19_30,118702
2016_07_27 19_40,118702
2016_07_27 19_50,118702
2016_07_27 20_00,118702
2016_07_27 20_10,118702
2016_07_27 20_20,118702
2016_07_27 20_30,118702
2016_07_27 20_40,118702
2016_07_27 20_50,118702
2016_07_27 21_00,118702
2016_07_27 21_10,118702
2016_07_27 21_20,118702
2016_07_27 21_30,118702
