Dates,Total Rating
2016_07_26 10_10,1651887
2016_07_26 10_20,1651887
2016_07_26 10_30,1651887
2016_07_26 10_40,1651887
2016_07_26 10_50,1651887
2016_07_26 11_00,1651887
2016_07_26 11_10,1651887
2016_07_26 11_20,1651887
2016_07_26 11_30,1651887
2016_07_26 11_40,1651887
2016_07_26 11_50,1651887
2016_07_26 12_00,1651887
2016_07_26 12_10,1651887
2016_07_26 12_20,1651887
2016_07_26 12_30,1651887
2016_07_26 12_40,1651887
2016_07_26 12_50,1651887
2016_07_26 13_00,1662418
2016_07_26 13_10,1662418
2016_07_26 13_20,1662418
2016_07_26 13_30,1662418
2016_07_26 13_40,1662418
2016_07_26 13_50,1662418
2016_07_26 14_00,1662418
2016_07_26 14_10,1662418
2016_07_26 14_20,1662418
2016_07_26 14_30,1662418
2016_07_26 14_40,1662418
2016_07_26 14_50,1662418
2016_07_26 15_00,1662418
2016_07_26 15_10,1662418
2016_07_26 15_20,1662418
2016_07_26 15_30,1662418
2016_07_26 15_40,1662418
2016_07_26 15_50,1662418
2016_07_26 16_00,1662418
2016_07_26 16_10,1662418
2016_07_26 16_20,1662418
2016_07_26 16_30,1662418
2016_07_26 16_40,1662418
2016_07_26 16_50,1662418
2016_07_26 17_00,1672383
2016_07_26 17_10,1672383
2016_07_26 17_20,1672383
2016_07_26 17_30,1672383
2016_07_26 17_40,1672383
2016_07_26 17_50,1672383
2016_07_26 18_00,1672383
2016_07_26 18_10,1672383
2016_07_26 18_20,1672383
2016_07_26 18_30,1672383
2016_07_26 18_40,1672383
2016_07_26 18_50,1672383
2016_07_26 19_00,1672383
2016_07_26 19_10,1672383
2016_07_26 19_20,1672383
2016_07_26 19_30,1672383
2016_07_26 19_40,1672383
2016_07_26 19_50,1672383
2016_07_26 20_00,1672383
2016_07_26 20_10,1672383
2016_07_26 20_20,1672383
2016_07_26 20_30,1672383
2016_07_26 20_40,1672383
2016_07_26 20_50,1672383
2016_07_26 21_00,1678661
2016_07_26 21_10,1678661
2016_07_26 21_20,1678661
2016_07_26 21_30,1678661
2016_07_26 21_40,1678661
2016_07_26 21_50,1678661
2016_07_26 22_00,1678661
2016_07_26 22_10,1678661
2016_07_26 22_20,1678661
2016_07_26 22_30,1678661
2016_07_26 22_40,1678661
2016_07_26 22_50,1678661
2016_07_26 23_00,1678661
2016_07_26 23_10,1678661
2016_07_26 23_20,1678661
2016_07_26 23_30,1678661
2016_07_26 23_40,1678661
2016_07_26 23_50,1678661
2016_07_27 00_00,1678661
2016_07_27 00_10,1678661
2016_07_27 00_20,1678661
2016_07_27 00_30,1678661
2016_07_27 00_40,1678661
2016_07_27 00_50,1678661
2016_07_27 01_00,1682934
